MAC,State,Locality,Locality Name,Work GPCI,PE GPCI,MP GPCI
10112,AL,0.0,ALABAMA,1.0,0.869,0.575
02102,AK,1.0,ALASKA*,1.5,1.081,0.592
03102,AZ,0.0,ARIZONA,1.0,0.975,0.854
07102,AR,13.0,ARKANSAS,1.0,0.86,0.518
01112,CA,54.0,BAKERSFIELD,1.017,1.093,0.662
01112,CA,55.0,CHICO,1.014,1.093,0.56
01182,CA,71.0,EL CENTRO,1.014,1.093,0.57
01112,CA,56.0,FRESNO,1.014,1.093,0.56
01112,CA,57.0,HANFORD-CORCORAN,1.014,1.093,0.56
01182,CA,18.0,LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGELES/ORANGE CNTY),1.042,1.194,0.69
01112,CA,58.0,MADERA,1.014,1.093,0.56
01112,CA,59.0,MERCED,1.014,1.093,0.56
01112,CA,60.0,MODESTO,1.014,1.093,0.56
01112,CA,51.0,NAPA,1.058,1.31,0.521
01182,CA,17.0,OXNARD-THOUSAND OAKS-VENTURA,1.026,1.183,0.651
01112,CA,61.0,REDDING,1.014,1.093,0.56
01112,CA,62.0,RIVERSIDE-SAN BERNARDINO-ONTARIO,1.014,1.093,0.892
01112,CA,63.0,SACRAMENTO-ROSEVILLE-FOLSOM,1.034,1.156,0.56
01112,CA,64.0,SALINAS,1.035,1.165,0.56
01182,CA,72.0,SAN DIEGO-CHULA VISTA-CARLSBAD,1.028,1.191,0.572
01112,CA,5.0,SAN FRANCISCO-OAKLAND-BERKELEY (SAN FRANCISCO/SAN MATEO/ALAMEDA/CONTRA COSTA CNTY),1.088,1.419,0.445
01112,CA,52.0,SAN FRANCISCO-OAKLAND-BERKELEY (MARIN CNTY),1.088,1.419,0.47
01112,CA,65.0,SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY),1.1,1.435,0.56
01182,CA,73.0,SAN LUIS OBISPO-PASO ROBLES,1.014,1.132,0.56
01112,CA,9.0,SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY),1.1,1.435,0.42
01112,CA,66.0,SANTA CRUZ-WATSONVILLE,1.017,1.209,0.56
01182,CA,74.0,SANTA MARIA-SANTA BARBARA,1.022,1.175,0.56
01112,CA,67.0,SANTA ROSA-PETALUMA,1.027,1.232,0.56
01112,CA,68.0,STOCKTON,1.014,1.093,0.56
01112,CA,53.0,VALLEJO,1.058,1.31,0.47
01112,CA,69.0,VISALIA,1.014,1.093,0.56
01112,CA,70.0,YUBA CITY,1.014,1.093,0.56
01112,CA,75.0,REST OF CALIFORNIA,1.014,1.093,0.56
04112,CO,1.0,COLORADO,1.008,1.053,0.827
13102,CT,0.0,CONNECTICUT,1.022,1.091,1.207
12202,DC,1.0,DC + MD/VA SUBURBS,1.057,1.192,1.168
12102,DE,1.0,DELAWARE,1.009,0.992,0.949
09102,FL,3.0,FORT LAUDERDALE,1.0,0.998,1.77
09102,FL,4.0,MIAMI,1.0,1.027,2.5
09102,FL,99.0,REST OF FLORIDA,1.0,0.94,1.467
10212,GA,1.0,ATLANTA,1.0,0.997,1.128
10212,GA,99.0,REST OF GEORGIA,1.0,0.883,1.125
01212,HI,1.0,"HAWAII, GUAM",1.0,1.149,0.561
02202,ID,0.0,IDAHO,1.0,0.908,0.461
06102,IL,16.0,CHICAGO,1.007,1.023,2.018
06102,IL,12.0,EAST ST. LOUIS,1.0,0.918,1.784
06102,IL,15.0,SUBURBAN CHICAGO,1.007,1.048,1.556
06102,IL,99.0,REST OF ILLINOIS,1.0,0.912,1.381
08102,IN,0.0,INDIANA,1.0,0.922,0.485
05102,IA,0.0,IOWA,1.0,0.913,0.457
05202,KS,0.0,KANSAS,1.0,0.906,0.54
15102,KY,0.0,KENTUCKY,1.0,0.877,0.913
07202,LA,1.0,NEW ORLEANS,1.0,0.935,1.156
07202,LA,99.0,REST OF LOUISIANA,1.0,0.881,0.982
14112,ME,3.0,SOUTHERN MAINE,1.0,1.012,0.656
14112,ME,99.0,REST OF MAINE,1.0,0.913,0.65
12302,MD,1.0,BALTIMORE/SURR. CNTYS,1.02,1.078,1.309
12302,MD,99.0,REST OF MARYLAND,1.012,1.016,0.973
14212,MA,1.0,METROPOLITAN BOSTON,1.042,1.197,0.894
14212,MA,99.0,REST OF MASSACHUSETTS,1.017,1.061,0.796
08202,MI,1.0,DETROIT,1.003,0.986,1.718
08202,MI,99.0,REST OF MICHIGAN,1.0,0.911,1.173
06202,MN,0.0,MINNESOTA,1.0,1.025,0.3
07302,MS,0.0,MISSISSIPPI,1.0,0.852,0.768
05302,MO,2.0,METROPOLITAN KANSAS CITY,1.0,0.948,0.992
05302,MO,1.0,METROPOLITAN ST. LOUIS,1.0,0.952,0.994
05302,MO,99.0,REST OF MISSOURI,1.0,0.859,0.974
03202,MT,1.0,MONTANA**,1.0,1.0,0.978
05402,NE,0.0,NEBRASKA,1.0,0.917,0.304
01312,NV,0.0,NEVADA**,1.0,1.0,0.844
14312,NH,40.0,NEW HAMPSHIRE,1.0,1.034,0.898
12402,NJ,1.0,NORTHERN NJ,1.064,1.172,1.032
12402,NJ,99.0,REST OF NEW JERSEY,1.042,1.106,1.069
04212,NM,5.0,NEW MEXICO,1.0,0.908,1.172
13202,NY,1.0,MANHATTAN,1.065,1.166,1.656
13202,NY,2.0,NYC SUBURBS/LONG ISLAND,1.065,1.2,1.911
13202,NY,3.0,POUGHKPSIE/N NYC SUBURBS,1.046,1.106,1.269
13292,NY,4.0,QUEENS,1.065,1.195,1.462
13282,NY,99.0,REST OF NEW YORK,1.0,0.949,0.732
11502,NC,0.0,NORTH CAROLINA,1.0,0.926,0.665
03302,ND,1.0,NORTH DAKOTA**,1.0,1.0,0.517
15202,OH,0.0,OHIO,1.0,0.911,1.033
04312,OK,0.0,OKLAHOMA,1.0,0.891,0.813
02302,OR,1.0,PORTLAND,1.013,1.103,0.688
02302,OR,99.0,REST OF OREGON,1.0,0.986,0.643
12502,PA,1.0,METROPOLITAN PHILADELPHIA,1.024,1.053,1.177
12502,PA,99.0,REST OF PENNSYLVANIA,1.0,0.927,0.925
09202,PR,20.0,PUERTO RICO,1.0,1.007,0.982
14412,RI,1.0,RHODE ISLAND,1.025,1.039,0.849
11202,SC,1.0,SOUTH CAROLINA,1.0,0.913,0.817
03402,SD,2.0,SOUTH DAKOTA**,1.0,1.0,0.382
10312,TN,35.0,TENNESSEE,1.0,0.896,0.544
04412,TX,31.0,AUSTIN,1.0,1.046,0.914
04412,TX,20.0,BEAUMONT,1.0,0.903,0.947
04412,TX,9.0,BRAZORIA,1.014,1.006,0.795
04412,TX,11.0,DALLAS,1.011,1.007,0.877
04412,TX,28.0,FORT WORTH,1.011,0.998,0.902
04412,TX,15.0,GALVESTON,1.014,1.0,0.855
04412,TX,18.0,HOUSTON,1.014,1.003,1.409
04412,TX,99.0,REST OF TEXAS,1.0,0.945,0.934
03502,UT,9.0,UTAH,1.0,0.933,0.93
14512,VT,50.0,VERMONT,1.0,0.993,0.518
11302,VA,0.0,VIRGINIA,1.002,0.984,0.755
09202,VI,50.0,VIRGIN ISLANDS,1.0,1.007,0.982
02402,WA,2.0,SEATTLE (KING CNTY),1.043,1.22,0.853
02402,WA,99.0,REST OF WASHINGTON,1.007,1.04,0.803
11402,WV,16.0,WEST VIRGINIA,1.0,0.862,1.333
06302,WI,0.0,WISCONSIN,1.0,0.957,0.331
03602,WY,21.0,WYOMING**,1.0,1.0,0.739
