MAC,Locality,Locality Name,State,Work GPCI,PE GPCI,MP GPCI
01102,01,Alabama,AL,0.9695,0.8667,0.5920
01102,99,Rest of Alabama,AL,0.9501,0.8483,0.5411
31143,01,"San Francisco-Oakland-Berkeley, CA",CA,1.0734,1.4860,0.6693
31143,18,Rest of California,CA,1.0290,1.1140,0.6230
05440,01,"Manhattan, NY",NY,1.0817,1.3099,1.4533
05440,02,NYC Suburbs,NY,1.0528,1.2470,1.2110
05102,04,Rest of New York,NY,1.0167,0.9710,0.6670
05535,01,"Dallas, TX",TX,1.0240,0.9990,0.8490
05535,20,Rest of Texas,TX,0.9830,0.9120,0.7290
12302,01,"Chicago, IL",IL,1.0371,1.0690,1.3070
12302,16,Rest of Illinois,IL,0.9820,0.9340,0.6970
